Label,CAT12_Voxel,CAT12_Volume,my_index,my_Voxels,my_volume
Left-Inferior-Frontal-Orbital-Gyrus,610,2.06,101,1362,4.59675
Right-Inferior-Frontal-Orbital-Gyrus,616,2.08,102,1340,4.5225
Left-Posterior-Cingulate-Gyrus,1919,6.48,103,3832,12.933
Right-Posterior-Cingulate-Gyrus,1610,5.43,104,3426,11.56275
Left-Precuneus,5274,17.8,105,8491,28.657125
Right-Precuneus,5066,17.1,106,8586,28.97775
Left-Parahippocampus-Gyrus,1455,4.91,107,2234,7.53975
Right-Parahippocampus-Gyrus,1458,4.92,108,2296,7.749
Left-Posterior-Insula,705,2.38,109,1433,4.836375
Right-Posterior-Insula,829,2.8,110,1749,5.902875
Left-Parietal-Operculum,970,3.27,111,2304,7.776
Right-Parietal-Operculum,858,2.9,112,2053,6.928875
Left-Postcentral-Gyrus,6053,20.43,113,11294,38.11725
Right-Postcentral-Gyrus,5565,18.78,114,10227,34.516125
Left-Posterior-Orbital-Gyrus,1278,4.31,115,2000,6.75
Right-Posterior-Orbital-Gyrus,1252,4.23,116,1931,6.517125
Left-Planum-Polare,806,2.72,117,1879,6.341625
Right-Planum-Polare,769,2.6,118,1465,4.944375
Left-Precentral-Gyrus,6250,21.09,119,12522,42.26175
Right-Precentral-Gyrus,6283,21.21,120,12209,41.205375
Left-Temporal,843,2.85,121,1643,5.545125
Right-Temporal,826,2.79,122,1413,4.768875
Left-Subcallosal-Area,568,1.92,123,942,3.17925
Right-Subcallosal-Area,510,1.72,124,895,3.020625
Left-Superior-Frontal-Gyrus,7435,25.09,125,13967,47.138625
Right-Superior-Frontal-Gyrus,7255,24.49,126,14093,47.563875
Left-Cerebrum-and-Motor,2860,9.65,127,4850,16.36875
Right-Cerebrum-and-Motor,2644,8.92,128,4566,15.41025
Left-Supramarginal-Gyrus,4084,13.78,129,7374,24.88725
Right-Supramarginal-Gyrus,3850,12.99,130,6791,22.919625
Left-Superior-Occipital-Gyrus,1603,5.41,131,3099,10.459125
Right-Superior-Occipital-Gyrus,2027,6.84,132,3889,13.125375
Left-Superior-Parietal-Lobule,5620,18.97,133,10000,33.75
Right-Superior-Parietal-Lobule,5519,18.63,134,9828,33.1695
Left-Superior-Temporal-Gyrus,2966,10.01,135,5163,17.425125
Right-Superior-Temporal-Gyrus,3341,11.28,136,5668,19.1295
Left-Temporal-Pole,4165,14.06,137,7205,24.316875
Right-Temporal-Pole,4337,14.64,138,7276,24.5565
Left-Inferior-Frontal-Angular-Gyrus,1419,4.79,139,2885,9.736875
Right-Inferior-Frontal-Angular-Gyrus,1521,5.13,140,2950,9.95625
Left-Temporal-Transverse-Gyrus,541,1.83,141,1050,3.54375
